state,icpsrState,cd,icpsrLegis,party,partyCode
44,99,0,99903,1,100
2,41,0,8764,1,100
2,41,0,4418,1,100
1,81,0,3864,1,100
1,81,0,486,1,100
4,61,0,4227,1,100
4,61,0,10804,2,200
3,42,0,3388,1,100
3,42,0,6151,1,100
5,71,0,5372,2,200
5,71,0,10814,2,200
6,62,0,10514,2,200
6,62,0,142,2,200
7,1,0,2636,1,100
7,1,0,7847,1,100
8,11,0,823,2,200
8,11,0,10163,2,200
9,43,0,8593,1,100
9,43,0,4520,1,100
10,44,0,8138,1,100
10,44,0,9174,1,100
11,82,0,3255,2,200
11,82,0,4812,1,100
13,63,0,1721,1,100
13,63,0,10807,2,200
14,21,0,2609,2,200
14,21,0,11205,2,200
15,22,0,4154,1,100
15,22,0,10800,1,100
12,31,0,10812,2,200
12,31,0,4382,2,200
16,32,0,1510,2,200
16,32,0,10817,2,200
17,51,0,2052,2,200
17,51,0,6745,2,200
18,45,0,2901,1,100
18,45,0,5767,1,100
21,2,0,6831,1,100
21,2,0,8666,2,200
20,52,0,1018,1,100
20,52,0,10824,1,100
19,3,0,11201,2,200
19,3,0,10808,1,100
22,23,0,3824,2,200
22,23,0,4148,1,100
23,33,0,10813,1,100
23,33,0,6134,1,100
25,46,0,8883,1,100
25,46,0,2822,1,100
24,34,0,9141,1,100
24,34,0,5756,1,100
26,64,0,6442,1,100
26,64,0,5967,1,100
29,35,0,2267,2,200
29,35,0,4660,2,200
33,65,0,688,1,100
33,65,0,1482,1,100
30,4,0,10810,1,100
30,4,0,2087,2,200
31,12,0,1569,2,200
31,12,0,10147,1,100
32,66,0,165,1,100
32,66,0,6611,1,100
34,13,0,4898,2,200
34,13,0,3670,2,200
34,13,0,10809,1,100
27,47,0,5073,1,100
27,47,0,2987,1,100
28,36,0,10450,2,200
28,36,0,1252,1,100
35,24,0,10454,1,100
35,24,0,5500,1,100
36,53,0,6597,1,100
36,53,0,10805,1,100
37,72,0,6738,1,100
37,72,0,11203,2,200
38,14,0,8301,2,200
38,14,0,1776,1,100
39,5,0,7229,1,100
39,5,0,10818,1,100
40,48,0,11204,1,100
40,48,0,9369,2,200
41,37,0,6256,1,100
41,37,0,6796,2,200
42,54,0,11200,2,200
42,54,0,3704,1,100
43,49,0,10414,1,100
43,49,0,10823,2,200
45,67,0,645,2,200
45,67,0,6754,1,100
47,6,0,7637,2,200
47,6,0,52,2,200
46,40,0,11206,1,100
46,40,0,10802,1,100
48,73,0,5913,1,100
48,73,0,4851,1,100
50,56,0,7722,1,100
50,56,0,1366,1,100
49,25,0,7638,1,100
49,25,0,10816,1,100
51,68,0,11202,2,200
51,68,0,6249,1,100
