state icpsrState cd icpsrLegis party partyCode
USA 99 0 99903 D 100
AL 41 0 8764 D 100
AL 41 0 4418 D 100
AK 81 0 3864 D 100
AK 81 0 486 D 100
AZ 61 0 4227 D 100
AZ 61 0 10804 R 200
AR 42 0 3388 D 100
AR 42 0 6151 D 100
CA 71 0 5372 R 200
CA 71 0 10814 R 200
CO 62 0 10514 R 200
CO 62 0 142 R 200
CT 1 0 2636 D 100
CT 1 0 7847 D 100
DE 11 0 823 R 200
DE 11 0 10163 R 200
FL 43 0 8593 D 100
FL 43 0 4520 D 100
GA 44 0 8138 D 100
GA 44 0 9174 D 100
HI 82 0 3255 R 200
HI 82 0 4812 D 100
ID 63 0 1721 D 100
ID 63 0 10807 R 200
IL 21 0 2609 R 200
IL 21 0 11205 R 200
IN 22 0 4154 D 100
IN 22 0 10800 D 100
IA 31 0 10812 R 200
IA 31 0 4382 R 200
KS 32 0 1510 R 200
KS 32 0 10817 R 200
KY 51 0 2052 R 200
KY 51 0 6745 R 200
LA 45 0 2901 D 100
LA 45 0 5767 D 100
ME 2 0 6831 D 100
ME 2 0 8666 R 200
MD 52 0 1018 D 100
MD 52 0 10824 D 100
MA 3 0 11201 R 200
MA 3 0 10808 D 100
MI 23 0 3824 R 200
MI 23 0 4148 D 100
MN 33 0 10813 D 100
MN 33 0 6134 D 100
MS 46 0 8883 D 100
MS 46 0 2822 D 100
MO 34 0 9141 D 100
MO 34 0 5756 D 100
MT 64 0 6442 D 100
MT 64 0 5967 D 100
NE 35 0 2267 R 200
NE 35 0 4660 R 200
NV 65 0 688 D 100
NV 65 0 1482 D 100
NH 4 0 10810 D 100
NH 4 0 2087 R 200
NJ 12 0 1569 R 200
NJ 12 0 10147 D 100
NM 66 0 165 D 100
NM 66 0 6611 D 100
NY 13 0 4898 R 200
NY 13 0 3670 R 200
NY 13 0 10809 D 100
NC 47 0 5073 D 100
NC 47 0 2987 D 100
ND 36 0 10450 R 200
ND 36 0 1252 D 100
OH 24 0 10454 D 100
OH 24 0 5500 D 100
OK 53 0 6597 D 100
OK 53 0 10805 D 100
OR 72 0 6738 D 100
OR 72 0 11203 R 200
PA 14 0 8301 R 200
PA 14 0 1776 D 100
RI 5 0 7229 D 100
RI 5 0 10818 D 100
SC 48 0 11204 D 100
SC 48 0 9369 R 200
SD 37 0 6256 D 100
SD 37 0 6796 R 200
TN 54 0 11200 R 200
TN 54 0 3704 D 100
TX 49 0 10414 D 100
TX 49 0 10823 R 200
UT 67 0 645 R 200
UT 67 0 6754 D 100
VT 6 0 7637 R 200
VT 6 0 52 R 200
VA 40 0 11206 D 100
VA 40 0 10802 D 100
WA 73 0 5913 D 100
WA 73 0 4851 D 100
WV 56 0 7722 D 100
WV 56 0 1366 D 100
WI 25 0 7638 D 100
WI 25 0 10816 D 100
WY 68 0 11202 R 200
WY 68 0 6249 D 100
